Hhold.ID,Interview.Date,Fish.Date,KG.Catch,Total.Profit
AM19,7/12/2017,7/9/2017,2,900
NY17,7/12/2017,7/9/2017,2,350
NY18,7/12/2017,7/9/2017,2,700
CH18,7/12/2017,7/9/2017,0.3,140
CH18,7/12/2017,7/9/2017,0.3,140
CB04,7/12/2017,7/9/2017,0.4,75
CH21,7/12/2017,7/9/2017,0.4,230
CB02,7/11/2017,7/10/2017,0.5,100
AM13,7/11/2017,7/10/2017,1,500
AM13,7/11/2017,7/10/2017,1,500
AM06,7/11/2017,7/10/2017,3,1100
CH10,7/11/2017,7/10/2017,1,270
KB03,7/13/2017,7/10/2017,1,600
KB03,7/13/2017,7/10/2017,1,600
KB07,7/11/2017,7/10/2017,1,500
KB07,7/11/2017,7/10/2017,1,500
AM09,7/11/2017,7/10/2017,3,1500
AM09,7/11/2017,7/10/2017,3,1500
KB05,7/11/2017,7/10/2017,2,1200
KB05,7/11/2017,7/10/2017,2,1200
AM01,7/11/2017,7/10/2017,3,1500
AM01,7/11/2017,7/10/2017,3,1500
CB03,7/12/2017,7/10/2017,1,175
KB02,7/13/2017,7/10/2017,1,600
KB02,7/13/2017,7/10/2017,1,600
AM19,7/12/2017,7/10/2017,2,1200
NY17,7/12/2017,7/10/2017,2,350
NY18,7/12/2017,7/10/2017,2,700
CH18,7/12/2017,7/10/2017,0.5,230
CH18,7/12/2017,7/10/2017,0.5,230
CB04,7/12/2017,7/10/2017,0.5,100
CH21,7/12/2017,7/10/2017,1,360
AM12,7/14/2017,7/10/2017,1,300
AM12,7/14/2017,7/10/2017,1,300
AM05,7/13/2017,7/10/2017,1,500
KB08,7/13/2017,7/10/2017,2,390
AM08,7/13/2017,7/10/2017,2,700
AM08,7/13/2017,7/10/2017,2,700
AM07,7/13/2017,7/10/2017,2,700
AM04,7/13/2017,7/10/2017,3,1200
AM11,7/13/2017,7/10/2017,3,1000
AM11,7/13/2017,7/10/2017,3,1000
CH14,7/13/2017,7/10/2017,4,1100
CB03,7/12/2017,7/11/2017,0.5,100
KB01,7/12/2017,7/11/2017,1,600
KB01,7/12/2017,7/11/2017,1,600
KB02,7/13/2017,7/11/2017,2,800
KB02,7/13/2017,7/11/2017,2,800
AM19,7/12/2017,7/11/2017,2,1000
AM19,7/12/2017,7/11/2017,2,1000
NY17,7/12/2017,7/11/2017,2,350
NY18,7/12/2017,7/11/2017,2,600
CH18,7/12/2017,7/11/2017,0.5,180
CH18,7/12/2017,7/11/2017,0.5,180
CB04,7/12/2017,7/11/2017,0.5,100
CH21,7/12/2017,7/11/2017,1.5,450
AM05,7/13/2017,7/11/2017,3,1700
KB08,7/13/2017,7/11/2017,2,430
AM08,7/13/2017,7/11/2017,2,1200
AM08,7/13/2017,7/11/2017,2,1200
AM07,7/13/2017,7/11/2017,3,1500
AM04,7/13/2017,7/11/2017,2,600
AM11,7/13/2017,7/11/2017,2,900
AM11,7/13/2017,7/11/2017,2,900
CH14,7/13/2017,7/11/2017,4,1000
AM20,7/14/2017,7/11/2017,1,500
AM20,7/14/2017,7/11/2017,1,500
CB16,7/18/2017,7/11/2017,1,270
CB16,7/18/2017,7/11/2017,1,270
AM10,7/14/2017,7/11/2017,2,900
AM10,7/14/2017,7/11/2017,2,900
AM21,7/14/2017,7/11/2017,2,600
AM21,7/14/2017,7/11/2017,2,600
AM10,7/14/2017,7/11/2017,3,1500
AM10,7/14/2017,7/11/2017,3,1500
AM05,7/13/2017,7/12/2017,3,1500
KB08,7/13/2017,7/12/2017,1,170
AM08,7/13/2017,7/12/2017,2,600
AM08,7/13/2017,7/12/2017,2,600
AM07,7/13/2017,7/12/2017,2,900
AM04,7/13/2017,7/12/2017,2,600
AM11,7/13/2017,7/12/2017,2,800
AM11,7/13/2017,7/12/2017,2,800
CH14,7/13/2017,7/12/2017,4,1000
AM12,7/14/2017,7/12/2017,1,350
AM12,7/14/2017,7/12/2017,1,350
AM20,7/14/2017,7/12/2017,1,600
AM20,7/14/2017,7/12/2017,1,600
CB16,7/18/2017,7/12/2017,1,230
CB16,7/18/2017,7/12/2017,1,230
AM10,7/14/2017,7/12/2017,2,900
AM10,7/14/2017,7/12/2017,2,900
AM21,7/14/2017,7/12/2017,3,1100
AM21,7/14/2017,7/12/2017,3,1100
AM10,7/14/2017,7/12/2017,3,1200
AM10,7/14/2017,7/12/2017,3,1200
AM12,7/14/2017,7/13/2017,1,200
AM12,7/14/2017,7/13/2017,1,200
AM20,7/14/2017,7/13/2017,1,500
AM20,7/14/2017,7/13/2017,1,500
CB16,7/18/2017,7/13/2017,1,230
CB16,7/18/2017,7/13/2017,1,230
AM10,7/14/2017,7/13/2017,1,300
AM10,7/14/2017,7/13/2017,1,300
AM21,7/14/2017,7/13/2017,2,600
AM21,7/14/2017,7/13/2017,2,600
AM10,7/14/2017,7/13/2017,3,1500
AM10,7/14/2017,7/13/2017,3,1500
NY19,7/18/2017,7/13/2017,0,0
CH28,7/16/2017,7/13/2017,0.5,130
CH28,7/16/2017,7/13/2017,0.5,130
CB10,7/16/2017,7/13/2017,1,170
CB08,7/16/2017,7/13/2017,1,170
CH23,7/21/2017,7/13/2017,1.5,320
CH23,7/21/2017,7/13/2017,1.5,320
CH28,7/12/2017,7/13/2017,1.5,320
CH28,7/16/2017,7/13/2017,1.5,320
NY19,7/18/2017,7/14/2017,1,400
CH28,7/16/2017,7/14/2017,1,230
CH28,7/16/2017,7/14/2017,1,230
CB10,7/16/2017,7/14/2017,1,125
CB08,7/16/2017,7/14/2017,1,125
CH28,7/12/2017,7/14/2017,2,450
CH28,7/16/2017,7/14/2017,2,450
AM13,7/26/2017,7/14/2017,1,500
AM13,7/26/2017,7/14/2017,1,500
KB01,7/17/2017,7/14/2017,1,600
CH18,7/17/2017,7/14/2017,1,200
CH18,7/17/2017,7/14/2017,1,200
KB01,7/17/2017,7/14/2017,1,600
CH28,7/17/2017,7/14/2017,1,310
CH28,7/17/2017,7/14/2017,1,310
AM09,7/17/2017,7/14/2017,1,600
AM09,7/17/2017,7/14/2017,1,600
KB03,7/17/2017,7/14/2017,1.5,800
KB03,7/17/2017,7/14/2017,1.5,800
KB07,7/17/2017,7/14/2017,2,800
KB07,7/17/2017,7/14/2017,2,800
KB05,7/17/2017,7/14/2017,2,600
KB05,7/17/2017,7/14/2017,2,600
CH32,7/17/2017,7/14/2017,2,350
AM06,7/17/2017,7/14/2017,2,600
AM01,7/17/2017,7/14/2017,2,600
AM01,7/17/2017,7/14/2017,2,600
AM13,7/17/2017,7/14/2017,2,600
AM13,7/17/2017,7/14/2017,2,600
CH02,8/18/2017,7/14/2017,0,0
CH28,7/16/2017,7/15/2017,1,230
CH28,7/16/2017,7/15/2017,1,230
CB10,7/16/2017,7/15/2017,0.5,60
CB08,7/16/2017,7/15/2017,0.5,60
CH28,7/12/2017,7/15/2017,1,240
CH28,7/16/2017,7/15/2017,1,240
KB01,7/17/2017,7/15/2017,0,0
CH18,7/17/2017,7/15/2017,1,240
CH18,7/17/2017,7/15/2017,1,240
KB01,7/17/2017,7/15/2017,1,0
CH28,7/17/2017,7/15/2017,1.5,400
CH28,7/17/2017,7/15/2017,1.5,400
AM09,7/17/2017,7/15/2017,3,1600
AM09,7/17/2017,7/15/2017,3,1600
KB03,7/17/2017,7/15/2017,1,500
KB03,7/17/2017,7/15/2017,1,500
KB07,7/17/2017,7/15/2017,2,800
KB07,7/17/2017,7/15/2017,2,800
KB05,7/17/2017,7/15/2017,2,600
KB05,7/17/2017,7/15/2017,2,600
CH32,7/17/2017,7/15/2017,2,300
AM06,7/17/2017,7/15/2017,2,600
AM01,7/17/2017,7/15/2017,2,700
AM01,7/17/2017,7/15/2017,2,700
AM13,7/17/2017,7/15/2017,2,700
